,City," ""Region"""," ""Country"""," ""AirQuality"""," ""WaterPollution""",Lat,Lon
618,Taranto," ""Apulia"""," ""Italy""",75.0,50.0,40.54881555,17.08058012454743
619,Sassari," ""Sardinia"""," ""Italy""",71.875,43.75,40.7232643,8.5610074
620,Olbia," ""Sardinia"""," ""Italy""",87.5,50.0,40.9232659,9.5027442
621,Messina," ""Sicily"""," ""Italy""",75.0,12.5,38.1937571,15.5542082
622,Syracuse," ""Sicily"""," ""Italy""",59.375,75.0,43.0481221,-76.1474244
623,Agrigento," ""Sicily"""," ""Italy""",75.0,50.0,37.3122991,13.57465
624,Tartu," ""Tartu County"""," ""Estonia""",92.59259259,11.95652174,58.3801207,26.72245
625,Banjarmasin," ""South Kalimantan"""," ""Indonesia""",100.0,0.0,-3.3187496,114.5925828
626,Aarau," ""Canton Aargau"""," ""Switzerland""",87.5,0.0,47.3927146,8.0444448
627,Palangkaraya," ""Central Kalimantan"""," ""Indonesia""",100.0,0.0,-2.2072919,113.9164372
628,Huasco," ""Atacama Region"""," ""Chile""",87.5,50.0,-28.4651248,-71.2207947
629,Iquique," ""Tarapaca Region"""," ""Chile""",40.0,50.0,-20.2140657,-70.1524646
630,La Serena," ""Coquimbo Region"""," ""Chile""",50.0,62.5,-29.902631,-71.2520253
631,Balikpapan," ""East Kalimantan"""," ""Indonesia""",72.22222222,38.88888889,-1.2398711,116.8593379
632,Linares," ""Maule Region"""," ""Chile""",0.0,50.0,38.0931247,-3.6357207
633,Samarinda," ""East Kalimantan"""," ""Indonesia""",87.5,0.0,-0.5017804,117.1393089
634,Makassar," ""South Sulawesi"""," ""Indonesia""",50.0,45.0,-5.1342962,119.4124282
635,Aviles," ""Asturias"""," ""Spain""",50.0,50.0,43.5554436,-5.9222466
636,Kaufbeuren," ""Bavaria"""," ""Germany""",100.0,50.0,47.8803788,10.622246
637,Coburg," ""Bavaria"""," ""Germany""",100.0,50.0,50.258112,10.964463
638,Ansbach," ""Bavaria"""," ""Germany""",80.0,25.0,49.3028611,10.5722288
639,Bensheim," ""Hesse"""," ""Germany""",87.5,50.0,49.6977,8.6288
640,Saarlouis," ""Saarland"""," ""Germany""",100.0,50.0,49.3164661,6.749846
641,Bernburg," ""Saxony-Anhalt"""," ""Germany""",100.0,50.0,51.7930788,11.7391606
642,Backnang," ""Baden-Wurttemberg"""," ""Germany""",100.0,0.0,48.9470756,9.4297925
643,Brno," """""," ""Czech Republic""",55.93220339,35.18518519,49.1922443,16.6113382
644,Tarragona," ""Catalonia"""," ""Spain""",50.0,45.0,41.1172364,1.2546057
645,Castello de la Plana," ""Community of Valencia"""," ""Spain""",87.5,25.0,39.9860347,-0.0377354
646,Albacete," ""Castile-La Mancha"""," ""Spain""",75.0,12.5,38.9950921,-1.8559154
647,Shenzhen," ""Guangdong"""," ""People's Republic of China""",44.87179487,67.01388889,22.5445741,114.0545429
648,Kendari," ""Southeast Sulawesi"""," ""Indonesia""",100.0,0.0,-3.9918068,122.5180066
649,Badalona," ""Catalonia"""," ""Spain""",87.5,50.0,41.4493539,2.248254
650,Vilanova i la Geltru," ""Catalonia"""," ""Spain""",87.5,50.0,41.2241992,1.7256327
651,Kagoshima," ""Kagoshima Prefecture"""," ""Japan""",50.0,50.0,31.521587,130.5474077
652,Caceres," ""Extremadura"""," ""Spain""",100.0,50.0,39.759172500000005,-6.1379457147709005
653,Badajoz," ""Extremadura"""," ""Spain""",96.875,43.75,38.88964355,-6.980142450723942
654,Jaen," ""Andalusia"""," ""Spain""",75.0,37.5,37.9557275,-3.492055612037218
655,Cadiz," ""Andalusia"""," ""Spain""",77.77777778,25.0,36.5262463,-5.9008367301110844
656,Salamanca," ""Castile and Leon"""," ""Spain""",96.42857143,25.0,40.9651572,-5.6640182
657,Novorossiysk," ""Krasnodar Krai"""," ""Russia""",33.33333333,90.0,44.7239578,37.7690711
658,Manado," ""North Sulawesi"""," ""Indonesia""",50.0,58.33333333,1.4900578,124.8408708
659,Domzale," ""Municipality of Domzale"""," ""Slovenia""",50.0,0.0,46.1394296,14.5944553
660,Grosuplje," ""Municipality of Grosuplje"""," ""Slovenia""",100.0,0.0,45.9571788,14.6554806
661,Idrija," ""Municipality of Idrija"""," ""Slovenia""",75.0,25.0,46.0023983,14.0273014
662,Izola," ""Municipality of Izola"""," ""Slovenia""",90.0,10.0,45.5398936,13.65939
663,Murska Sobota," ""City Municipality of Murska Sobota"""," ""Slovenia""",62.5,50.0,46.6624644,16.1655256
664,Ravne na Koroskem," ""Municipality of Ravne na Koroskem"""," ""Slovenia""",75.0,50.0,46.5446516,14.9622863
665,Slovenska Bistrica," ""Municipality of Slovenska Bistrica"""," ""Slovenia""",100.0,75.0,46.391944,15.5727757
666,Slovenj Gradec," ""City Municipality of Slovenj Gradec"""," ""Slovenia""",75.0,0.0,46.509144,15.0790677
667,Skofja Loka," ""Municipality of Skofja Loka"""," ""Slovenia""",100.0,0.0,46.165274,14.3067474
668,Velenje," ""City Municipality of Velenje"""," ""Slovenia""",75.0,50.0,46.3592869,15.1150301
669,Zagorje ob Savi," ""Zagorje ob Savi Municipality"""," ""Slovenia""",62.5,50.0,46.1342168,14.9952714
670,Uelzen," ""Lower Saxony"""," ""Germany""",100.0,50.0,52.9840679,10.538588154650403
671,Schwedt/Oder," ""Brandenburg"""," ""Germany""",87.5,50.0,53.0586366,14.2840858
672,Esch-sur-Alzette," """""," ""Luxembourg""",75.0,50.0,49.4959628,5.9850306
673,Deggendorf," ""Bavaria"""," ""Germany""",50.0,0.0,48.7814115,13.0006423
674,Maldonado," ""Maldonado Department"""," ""Uruguay""",100.0,0.0,-34.9087162,-54.9582718
675,Nanaimo," ""British Columbia"""," ""Canada""",89.77272727,29.16666667,49.163877,-123.938122
676,Ceske Budejovice," """""," ""Czech Republic""",65.0,50.0,48.9747357,14.474285
677,Busan," """""," ""South Korea""",44.73684211,48.33333333,35.1799528,129.0752365
678,San Diego," ""California"""," ""United States of America""",74.38271605,52.36486486,32.7174202,-117.1627728
679,San Jose," ""California"""," ""United States of America""",62.20930233,41.25,37.3361663,-121.890591
680,Denver," ""Colorado"""," ""United States of America""",53.1779661,36.83035714,39.7392364,-104.984862
681,Houston," ""Texas"""," ""United States of America""",45.86092715,57.09459459,29.7589382,-95.3676974
682,Phoenix," ""Arizona"""," ""United States of America""",44.29347826,47.64705882,33.4484367,-112.074141
683,Dallas," ""Texas"""," ""United States of America""",63.38028169,42.69230769,32.7762719,-96.7968559
684,Fort Worth," ""Texas"""," ""United States of America""",47.72727273,51.13636364,32.753177,-97.3327459
685,Austin," ""Texas"""," ""United States of America""",68.57142857,43.5,30.2711286,-97.7436995
686,El Paso," ""Texas"""," ""United States of America""",63.75,44.64285714,31.7550511,-106.488234
687,Memphis," ""Tennessee"""," ""United States of America""",66.30434783,48.68421053,35.1460249,-90.0517638
688,Charlotte," ""North Carolina"""," ""United States of America""",76.875,31.57894737,35.2272086,-80.8430827
689,Columbus," ""Ohio"""," ""United States of America""",87.5,62.5,39.9622601,-83.0007065
690,Jacksonville," ""Florida"""," ""United States of America""",75.65789474,66.21621622,30.3321838,-81.655651
691,Guangzhou," ""Guangdong"""," ""People's Republic of China""",29.32692308,68.47826087,23.1301964,113.2592945
692,Nanjing," ""Jiangsu"""," ""People's Republic of China""",26.92307692,75.0,32.0615513,118.7915619
693,Long Beach," ""California"""," ""United States of America""",50.0,32.69230769,33.7690164,-118.191604
694,Maple Ridge," ""British Columbia"""," ""Canada""",66.66666667,41.66666667,49.2197345,-122.599707
695,Laredo," ""Texas"""," ""United States of America""",0.0,100.0,27.5030915,-99.5075644
696,Los Angeles," ""Biobio Region"""," ""Chile""",12.5,50.0,34.0536909,-118.242766
697,Urumqi," ""Xinjiang"""," ""People's Republic of China""",16.66666667,62.5,43.419754,87.319461
698,Oakland," ""California"""," ""United States of America""",72.14285714,33.33333333,37.8044557,-122.271356
699,Thessaloniki," """""," ""Greece""",39.52380952,47.5,40.6403167,22.9352716
700,Marikina," ""Metro Manila"""," ""Philippines""",83.33333333,66.66666667,14.6331084,121.0993541
701,Muntinlupa," ""Metro Manila"""," ""Philippines""",40.625,83.33333333,14.3892634,121.0449101
702,Pasay," ""Metro Manila"""," ""Philippines""",25.0,100.0,14.5436995,120.9946503
703,Ballarat," ""Victoria"""," ""Australia""",89.0625,23.33333333,-37.5623013,143.8605645
704,Alice Springs," ""Northern Territory"""," ""Australia""",65.625,28.125,-23.6983884,133.8812885
705,Sacramento," ""California"""," ""United States of America""",55.09259259,39.89361702,38.5810606,-121.493895
706,Biella," ""Piedmont"""," ""Italy""",87.5,50.0,45.5669538,8.086912008297636
707,Honolulu," ""Hawaii"""," ""United States of America""",74.58333333,41.51785714,21.304547,-157.855676
708,Manchester," ""England"""," ""United Kingdom""",52.0,37.77777778,53.4794892,-2.2451148
709,Providence," ""Rhode Island"""," ""United States of America""",76.47058824,59.61538462,41.8239891,-71.4128343
710,Brooklyn," ""New York"""," ""United States of America""",52.08333333,33.65384615,40.6526006,-73.9497211
711,Tucson," ""Arizona"""," ""United States of America""",84.27419355,39.65517241,32.2228765,-110.974847
712,Stockport," ""England"""," ""United Kingdom""",75.0,0.0,53.407901,-2.160243
713,Nha Trang," ""Khanh Hoa"""," ""Vietnam""",51.92307692,57.69230769,12.2431693,109.1898675
714,Simferopol," ""Republic of Crimea"""," ""Russia""",18.75,33.33333333,44.9521459,34.1024858
715,Gori," ""Shida Kartli"""," ""Georgia""",75.0,50.0,11.4239817,-2.3988445
716,Bucharest," """""," ""Romania""",23.50574713,55.02336449,44.4361414,26.1027202
717,Tirana," ""Tirana County"""," ""Albania""",18.31683168,73.17708333,41.3281482,19.8184435
718,Welwyn Garden City," ""England"""," ""United Kingdom""",100.0,0.0,51.8031083,-0.2068872
719,Stevenage," ""England"""," ""United Kingdom""",75.0,0.0,51.9016663,-0.2027155
720,Neustrelitz," ""Mecklenburg-Western Pomerania"""," ""Germany""",100.0,50.0,53.3617163,13.0630004
721,Suwon," ""Gyeonggi Province"""," ""South Korea""",28.125,6.25,37.2633325,127.0287472
722,Daejeon," """""," ""South Korea""",33.92857143,42.5,36.3497007,127.3849016
723,Daegu," """""," ""South Korea""",27.94117647,50.0,35.8713,128.6018
724,Incheon," """""," ""South Korea""",27.08333333,33.33333333,37.456,126.7052
725,Skovde," ""Vastra Gotaland County"""," ""Sweden""",100.0,0.0,58.3896329,13.8456344
726,Aurora," ""Illinois"""," ""United States of America""",75.0,25.0,41.7571701,-88.3147539
727,Bath," ""England"""," ""United Kingdom""",40.0,35.0,51.3813864,-2.3596963
728,Bradford," ""England"""," ""United Kingdom""",37.5,31.25,53.7944229,-1.7519186
729,Landstuhl," ""Rhineland-Palatinate"""," ""Germany""",100.0,0.0,49.4143311,7.5722301
730,Red Deer," ""Alberta"""," ""Canada""",58.82352941,42.5,52.2690628,-113.8141464
731,Swansea," ""Wales"""," ""United Kingdom""",80.55555556,10.0,51.6195955,-3.9459248
732,Bristol," ""England"""," ""United Kingdom""",56.81818182,33.92857143,51.4538022,-2.5972985
733,Nashville," ""Tennessee"""," ""United States of America""",70.0,42.94871795,36.1622767,-86.7742984
734,Salt Lake City," ""Utah"""," ""United States of America""",23.13432836,41.66666667,40.7596198,-111.886797
735,Ulaanbaatar," """""," ""Mongolia""",6.862745098,71.73913043,47.94093275,106.91795035225584
736,Edinburgh," ""Scotland"""," ""United Kingdom""",75.81967213,12.5,55.9533456,-3.1883749
737,Ashgabat," """""," ""Turkmenistan""",61.11111111,36.11111111,37.9404648,58.3823487
738,Marseille," """""," ""France""",29.44444444,52.43902439,43.2961743,5.3699525
739,Merida," ""Merida State"""," ""Venezuela""",75.0,25.0,38.9174665,-6.3443977
740,Atlanta," ""Georgia"""," ""United States of America""",59.6875,46.57534247,33.7489924,-84.3902644
741,Podgorica," ""Podgorica Municipality"""," ""Montenegro""",51.13636364,38.88888889,42.4415238,19.2621081
742,Wellington," ""Wellington Region"""," ""New Zealand""",95.68965517,27.40384615,-41.2887953,174.7772114
743,Las Vegas," ""Nevada"""," ""United States of America""",51.72413793,49.69135802,36.1672559,-115.148516
744,Valletta," """""," ""Malta""",31.94444444,56.57894737,35.8989818,14.5136759
745,Vancouver," ""British Columbia"""," ""Canada""",80.56930693,31.66666667,49.2608724,-123.113952
746,Liverpool," ""England"""," ""United Kingdom""",71.66666667,20.0,53.4071991,-2.99168
747,Albany," ""New York"""," ""United States of America""",87.5,31.25,42.6511674,-73.754968
748,Bremen," """""," ""Germany""",78.75,15.625,53.0758196,8.8071646
749,Cabuyao," """""," ""Philippines""",25.0,100.0,14.2795538,121.1235712
750,Harrisburg," ""Pennsylvania"""," ""United States of America""",82.5,37.5,40.2663107,-76.8861122
751,Da Lat," ""L?m ???g"""," ""Vietnam""",62.5,54.16666667,51.3224757,12.3427813
752,Da Nang," """""," ""Vietnam""",50.0,51.19047619,16.068,108.212
753,Uppsala," ""Uppsala County"""," ""Sweden""",88.54166667,7.894736842,59.8586126,17.6387436
754,Gothenburg," ""Vastra Gotaland County"""," ""Sweden""",82.25806452,20.53571429,57.7072326,11.9670171
755,Raciborz," ""Silesian Voivodeship"""," ""Poland""",62.5,50.0,50.0917343,18.2196766
756,Trenton," ""New Jersey"""," ""United States of America""",85.0,100.0,40.2203074,-74.7659
757,Newark," ""New Jersey"""," ""United States of America""",50.0,62.5,40.735657,-74.1723667
758,Kosice," ""Kosice Region"""," ""Slovakia""",52.38095238,35.29411765,50.1797445,15.5349958
759,Helsingborg," ""Skane County"""," ""Sweden""",31.25,35.0,56.0442098,12.703706
760,Vasteras," ""Vastmanland County"""," ""Sweden""",80.76923077,16.66666667,59.6110992,16.5463679
761,Linkoping," ""Ostergotland County"""," ""Sweden""",85.0,0.0,58.4098135,15.6245252
762,Funchal," ""Madeira"""," ""Portugal""",84.09090909,31.94444444,32.6496497,-16.9086783
763,Batumi," ""Adjara"""," ""Georgia""",90.625,25.0,41.6509502,41.6360085
764,Umea," ""Vasterbotten County"""," ""Sweden""",97.22222222,0.0,63.8256568,20.2630745
765,St. Gallen," ""Canton of St. Gallen"""," ""Switzerland""",96.875,0.0,47.425618,9.3762397
766,Orebro," ""Orebro County"""," ""Sweden""",87.5,12.5,59.2747287,15.2151181
767,Zilina," ""Zilina region"""," ""Slovakia""",55.0,31.25,49.2234674,18.7393139
768,Trondheim," ""Trondelag"""," ""Norway""",91.0,9.210526316,63.4304475,10.3952118
769,Presov," ""Presov Region"""," ""Slovakia""",58.33333333,25.0,49.0000074,21.2392122
770,Trnava," ""Trnava Region"""," ""Slovakia""",60.71428571,0.0,48.3767652,17.5858175
771,Jieyang," ""Guangdong"""," ""People's Republic of China""",12.5,50.0,23.553156,116.3680354
772,Aley," ""Mount Lebanon Governorate"""," ""Lebanon""",75.0,100.0,33.8082697,35.6061181
773,Jersey City," ""New Jersey"""," ""United States of America""",58.33333333,60.0,40.7215682,-74.047455
774,Kalmar," ""Kalmar County"""," ""Sweden""",100.0,50.0,56.6628826,16.3662382
775,Poprad," ""Presov Region"""," ""Slovakia""",97.22222222,10.0,49.0541521,20.2976401
776,Nitra," ""Nitra Region"""," ""Slovakia""",75.0,50.0,48.31295,18.0894593
777,Keller," ""Texas"""," ""United States of America""",66.66666667,25.0,32.9299655,-97.2271249
778,Ciudad Juarez," ""Chihuahua"""," ""Mexico""",56.25,43.75,31.7372575,-106.485655
779,Fukuoka," ""Fukuoka Prefecture"""," ""Japan""",56.25,40.625,33.6251241,130.6180016
780,Nausori," ""Central Division"""," ""Fiji""",0.0,100.0,-18.0287189,178.5289994
781,Bergen," ""Vestland"""," ""Norway""",80.3030303,17.59259259,60.3943055,5.3259192
782,Davenport," ""Iowa"""," ""United States of America""",86.36363636,53.57142857,41.5235808,-90.5770967
783,Ciudad Bolivar," ""Bolivar"""," ""Venezuela""",100.0,50.0,8.1028532,-63.5469562
784,Martin," ""Zilina region"""," ""Slovakia""",55.0,0.0,32.2675039,-101.9190317
785,Unaizah," ""Al-Qassim Province"""," ""Saudi Arabia""",50.0,50.0,26.0908582,43.9864354
786,Najran," ""Najran Province"""," ""Saudi Arabia""",75.0,25.0,18.0,45.666667
787,Molndal," ""Vastra Gotaland County"""," ""Sweden""",100.0,50.0,57.6564918,12.0153085
788,Ruzomberok," ""Zilina region"""," ""Slovakia""",45.0,50.0,49.0815718,19.3034168
789,Jizan," ""Jazan Province"""," ""Saudi Arabia""",25.0,100.0,17.333333,42.666667
790,Jayapura," ""Papua"""," ""Indonesia""",100.0,12.5,-2.5387539,140.7037389
791,Jackson," ""Mississippi"""," ""United States of America""",85.41666667,28.57142857,32.2998686,-90.1830408
792,Augusta," ""Maine"""," ""United States of America""",50.0,100.0,33.4709714,-81.9748429
793,Baton Rouge," ""Louisiana"""," ""United States of America""",64.58333333,40.625,30.4494155,-91.1869659
794,Lansing," ""Michigan"""," ""United States of America""",92.85714286,41.66666667,42.7337712,-84.5553805
795,Concord," ""New Hampshire"""," ""United States of America""",91.66666667,15.0,43.207178,-71.537476
796,Lincoln," ""Nebraska"""," ""United States of America""",86.66666667,27.5,40.8088861,-96.7077751
797,Annapolis," ""Maryland"""," ""United States of America""",86.53846154,47.22222222,38.9786401,-76.492786
798,Olinda," ""Pernambuco"""," ""Brazil""",50.0,75.0,-7.9986401,-34.8459552
799,Sao Luis," ""Maranhao"""," ""Brazil""",50.0,100.0,-2.5295265,-44.2963942
800,Springfield," ""Illinois"""," ""United States of America""",90.625,62.5,39.7990175,-89.6439575
801,Hamadan," ""Hamadan Province"""," ""Iran""",39.28571429,37.5,34.9726302,48.6563818
802,Kozhikode," ""Kerala"""," ""India""",57.25806452,70.23809524,11.2450558,75.7754716
803,Saint Paul," ""Minnesota"""," ""United States of America""",88.54166667,30.0,44.9497487,-93.0931028
804,Lahti," """""," ""Finland""",90.90909091,14.28571429,60.9826014,25.6613764
805,Jixi," ""Heilongjiang"""," ""People's Republic of China""",12.5,50.0,45.65802,132.461493
806,Zunyi," ""Guizhou"""," ""People's Republic of China""",0.0,50.0,27.7254142,107.0269573
807,Jinzhou," ""Liaoning"""," ""People's Republic of China""",0.0,75.0,41.494444,121.615278
808,Zigong," ""Sichuan"""," ""People's Republic of China""",0.0,50.0,29.3419256,104.7761224
809,Akureyri," """""," ""Iceland""",85.0,75.0,65.68390355,-18.11217559813441
810,Hastings," ""England"""," ""United Kingdom""",100.0,0.0,50.8553888,0.5824703
811,Canterbury," ""England"""," ""United Kingdom""",56.25,35.41666667,51.2800275,1.0802533
812,Montgomery," ""Alabama"""," ""United States of America""",70.83333333,56.25,32.3669656,-86.3006485
813,Boca Raton," ""Florida"""," ""United States of America""",94.23076923,34.61538462,26.3586885,-80.0830984
814,Juneau," ""Alaska"""," ""United States of America""",100.0,25.0,43.9532381,-90.1218405
815,Aswan," ""Aswan Governorate"""," ""Egypt""",75.0,25.0,24.091071,32.897306
816,Asyut," ""Asyut Governorate"""," ""Egypt""",50.0,25.0,27.1832822,31.1853836
817,Chengdu," ""Sichuan"""," ""People's Republic of China""",22.14285714,58.87096774,30.6598628,104.0633717
818,Zhengzhou," ""Henan"""," ""People's Republic of China""",2.631578947,68.33333333,34.7487244,113.6191483
819,Heredia," ""Heredia Province"""," ""Costa Rica""",35.71428571,50.0,10.376781300000001,-84.01397213865732
820,Cartago," ""Provincia de Cartago"""," ""Costa Rica""",78.125,18.75,9.8159326,-83.69428210490865
821,Jalgaon," ""Maharashtra"""," ""India""",33.75,54.6875,20.84288265,75.52612463784979
822,Rouen," """""," ""France""",47.72727273,57.14285714,49.4404591,1.0939658
823,El Alto," ""La Paz Department"""," ""Bolivia""",50.0,100.0,-16.5048228,-68.1624337
824,Burlington," ""Vermont"""," ""United States of America""",100.0,30.0,44.4761601,-73.212906
825,Krakow," ""Lesser Poland Voivodeship"""," ""Poland""",12.19879518,36.53846154,50.0469432,19.997153435836697
826,Invercargill," ""Southland Region"""," ""New Zealand""",72.22222222,30.0,-46.4118465,168.3470632
827,Allen," ""Texas"""," ""United States of America""",75.0,12.5,40.8077797,-84.0572225
828,Las Cruces," ""New Mexico"""," ""United States of America""",82.8125,33.33333333,32.3140354,-106.779807
829,Sikar," ""Rajasthan"""," ""India""",58.33333333,87.5,27.583333,75.166667
830,Melitopol," ""Zaporizhzhia Oblast"""," ""Ukraine""",75.0,50.0,46.8467267,35.3827281
831,Jalandhar," ""Punjab"""," ""India""",23.75,67.1875,31.3323762,75.576889
832,Little Rock," ""Arkansas"""," ""United States of America""",89.28571429,22.05882353,34.7465071,-92.2896267
833,Hubli," ""Karnataka"""," ""India""",26.78571429,69.44444444,15.3518378,75.1379848
834,Hartford," ""Connecticut"""," ""United States of America""",65.38461538,50.0,41.764582,-72.6908547
835,Dover," ""Delaware"""," ""United States of America""",100.0,50.0,51.1251275,1.3134228
836,Gandia," ""Community of Valencia"""," ""Spain""",100.0,50.0,38.9675925,-0.1803423
837,Nice," """""," ""France""",53.125,28.94736842,43.7009358,7.2683912
838,Valparaiso," ""Valparaiso Region"""," ""Chile""",51.92307692,30.55555556,-32.5976089,-70.8529753
839,Sarnia," ""Ontario"""," ""Canada""",70.58823529,50.0,42.9743821,-82.403533
840,Fargo," ""North Dakota"""," ""United States of America""",100.0,0.0,46.877229,-96.789821
841,Thunder Bay," ""Ontario"""," ""Canada""",87.5,34.375,49.809661,-88.4811791
842,Grand Forks," ""North Dakota"""," ""United States of America""",87.5,37.5,47.9252042,-97.0306741
843,Brantford," ""Ontario"""," ""Canada""",75.0,43.33333333,43.1408157,-80.2631733
844,Barrie," ""Ontario"""," ""Canada""",83.82352941,29.16666667,44.3893208,-79.6901302
845,Oxford," ""England"""," ""United Kingdom""",78.75,26.5625,51.7520131,-1.2578499
846,Burlington," ""Ontario"""," ""Canada""",91.25,35.9375,44.4761601,-73.212906
847,Belleville," ""Ontario"""," ""Canada""",88.88888889,20.0,48.8176714,6.0982683
848,Port-au-Prince," ""Ouest"""," ""Haiti""",12.5,68.75,18.547327,-72.3395928
849,New Orleans," ""Louisiana"""," ""United States of America""",65.13157895,72.85714286,29.9759983,-90.0782127
850,Jingdezhen," ""Jiangxi"""," ""People's Republic of China""",50.0,75.0,29.2712774,117.1727822
851,Foshan," ""Guangdong"""," ""People's Republic of China""",28.57142857,50.0,23.0239788,113.1159558
852,Kyoto," ""Kyoto Prefecture"""," ""Japan""",64.77272727,28.33333333,35.021041,135.7556075
853,Johannesburg," ""Gauteng"""," ""South Africa""",42.75956284,57.36111111,-26.205,28.049722
854,Hiroshima," ""Hiroshima Prefecture"""," ""Japan""",79.16666667,25.0,34.3917241,132.4517589
855,Kingston," ""Surrey County"""," ""Jamaica""",33.125,58.57142857,17.9712148,-76.7928128
856,Salzburg," ""Salzburg"""," ""Austria""",82.69230769,38.88888889,47.7981346,13.0464806
857,Dayton," ""Ohio"""," ""United States of America""",82.8125,33.33333333,39.7589478,-84.1916069
858,Albuquerque," ""New Mexico"""," ""United States of America""",83.33333333,39.70588235,35.0841034,-106.650985
859,Santo Domingo," """""," ""Dominican Republic""",32.54716981,70.28301887,18.4801972,-69.942111
860,Oklahoma City," ""Oklahoma"""," ""United States of America""",88.33333333,31.73076923,35.4729886,-97.5170536
861,Brisbane," ""Queensland"""," ""Australia""",83.06878307,30.46448087,-27.4689682,153.0234991
862,Trinidad," ""Beni Department"""," ""Bolivia""",75.0,50.0,10.443024300000001,-61.26130538878063
863,Kuwait City," """""," ""Kuwait""",35.13513514,56.89655172,29.3796532,47.9734174
864,Colombo," ""Western Province"""," ""Sri Lanka""",45.13274336,62.73148148,6.9388614,79.8542005
865,Medina," ""Medina Province"""," ""Saudi Arabia""",20.0,66.66666667,29.2836281,-99.1126826
866,Almaty," """""," ""Kazakhstan""",11.83035714,48.86363636,43.2363924,76.9457275
867,Osaka," ""Osaka Prefecture"""," ""Japan""",51.47058824,55.35714286,34.6198813,135.490357
868,Boise," ""Idaho"""," ""United States of America""",68.93939394,32.5,43.6166163,-116.200886
869,Izmir," ""Izmir Province"""," ""Turkey""",47.08737864,58.60215054,38.23166,27.02997
870,Lviv," ""Lviv Oblast"""," ""Ukraine""",51.86567164,49.23076923,49.841952,24.0315921
871,Minneapolis," ""Minnesota"""," ""United States of America""",79.51388889,33.57142857,44.9772995,-93.2654692
872,Bridgetown," ""Saint Michael"""," ""Barbados""",90.0,15.0,13.0977832,-59.6184184
873,Puerto Montt," ""Los Lagos Region"""," ""Chile""",25.0,50.0,-41.471798,-72.9395915
874,Apia," """""," ""Samoa""",70.83333333,40.0,-13.8344639,-171.7649144
875,Salta," ""Salta Province"""," ""Argentina""",60.0,50.0,-25.1076701,-64.3494964
876,Calgary," """""," ""Canada""",80.0,24.8502994,51.0456064,-114.057541
877,Fribourg," ""canton of Fribourg"""," ""Switzerland""",92.85714286,25.0,46.6789116,7.1027113
878,Aberdeen," ""Scotland"""," ""United Kingdom""",79.76190476,14.70588235,57.1482429,-2.0928095
879,Porto," """""," ""Portugal""",68.44262295,34.58333333,41.1494512,-8.6107884
880,Port Moresby," """""," ""Papua New Guinea""",32.29166667,76.92307692,-9.4743301,147.1599504
881,Karaj," ""Alborz Province"""," ""Iran""",29.16666667,59.375,35.8224892,50.9904681
882,Cork," """""," ""Ireland""",83.33333333,28.125,51.897077,-8.4654674
883,Munger," ""Bihar"""," ""India""",100.0,62.5,25.0,86.25
884,Salvador," ""Bahia"""," ""Brazil""",83.0,51.31578947,13.8000382,-88.9140683
885,Pardubice," """""," ""Czech Republic""",50.0,41.66666667,50.0385812,15.7791356
886,Rauma," """""," ""Finland""",100.0,0.0,61.1289148,21.5039401
887,Tallahassee," ""Florida"""," ""United States of America""",92.1875,41.66666667,30.4380832,-84.2809332
888,Bismarck," ""North Dakota"""," ""United States of America""",95.83333333,50.0,46.808327,-100.783739
889,Auckland," ""Auckland Region"""," ""New Zealand""",78.52348993,41.66666667,-36.852095,174.7631803
890,Alajuela," ""Alajuela Province"""," ""Costa Rica""",55.0,50.0,10.45233165,-84.46632842680263
891,Gulbarga," """""," ""India""",33.92857143,76.92307692,17.166667,77.083333
892,Mariupol," ""Donetsk Oblast"""," ""Ukraine""",12.5,91.66666667,47.0957648,37.5499621
893,Cleveland," ""Ohio"""," ""United States of America""",66.66666667,54.54545455,41.4996574,-81.6936772
894,Lublin," ""Lublin Voivodeship"""," ""Poland""",35.9375,41.66666667,51.250559,22.5701022
895,Bloemfontein," ""Free State"""," ""South Africa""",45.83333333,62.5,-29.116395,26.215496
896,Besancon," """""," ""France""",87.5,37.5,47.2380222,6.0243622
897,Port Vila," ""Shefa"""," ""Vanuatu""",75.0,70.0,-17.7414972,168.3150163
898,Milwaukee," ""Wisconsin"""," ""United States of America""",79.06976744,43.29268293,43.0349931,-87.922497
899,Sapporo," ""Hokkaido Prefecture"""," ""Japan""",81.25,25.0,43.061936,141.3542924
900,Yangon," ""Yangon Region"""," ""Myanmar""",17.59259259,78.5,16.7967129,96.1609916
901,Nagasaki," ""Nagasaki Prefecture"""," ""Japan""",33.33333333,66.66666667,33.1154683,129.7874339
902,Yokohama," ""Kanagawa Prefecture"""," ""Japan""",75.0,29.16666667,35.4443947,139.6367727
903,Angers," """""," ""France""",100.0,25.0,47.4739884,-0.5515588
904,Columbia," ""South Carolina"""," ""United States of America""",66.07142857,52.27272727,4.099917,-72.9088133
905,Turku," """""," ""Finland""",90.0,11.66666667,60.4517531,22.2670522
906,Adana," ""Adana Province"""," ""Turkey""",55.0,12.5,37.1438001,35.4984094
907,Santa Fe," ""New Mexico"""," ""United States of America""",89.28571429,38.63636364,-30.3154739,-61.1645076
908,Helena," ""Montana"""," ""United States of America""",100.0,50.0,46.5927425,-112.036277
