,City," ""Region"""," ""Country"""," ""AirQuality"""," ""WaterPollution""",Lat,Lon
64,Ufa," ""Bashkortostan"""," ""Russia""",20.83333333,68.18181818,52.3870936,13.122814833095239
65,Volgograd," ""Volgograd Oblast"""," ""Russia""",21.66666667,59.375,48.6484138,44.384975590129905
66,Perm," ""Perm Krai"""," ""Russia""",44.44444444,50.0,58.014965,56.246723
67,Krasnoyarsk," ""Krasnoyarsk Krai"""," ""Russia""",6.617647059,49.21875,56.0090968,92.8725147
68,Beijing," """""," ""People's Republic of China""",21.36627907,70.78313253,39.9057136,116.3912972
69,Vladivostok," ""Primorsky Krai"""," ""Russia""",35.0,67.5,43.1150678,131.8855768
70,San Antonio," ""Texas"""," ""United States of America""",63.41463415,50.67567568,29.4246002,-98.4951405
71,Tomsk," ""Tomsk Oblast"""," ""Russia""",46.42857143,51.78571429,58.6124279,82.0475315
72,Tbilisi," """""," ""Georgia""",22.98387097,49.34782609,41.6934591,44.8014495
73,Maribor," ""Maribor City Municipality"""," ""Slovenia""",76.25,18.75,46.5576439,15.6455854
74,Celje," ""City Municipality of Celje"""," ""Slovenia""",50.0,8.333333333,46.2293889,15.2616828
75,Koper," ""City Municipality of Koper"""," ""Slovenia""",87.5,0.0,45.5479864,13.7304781
76,Aachen," ""North Rhine-Westphalia"""," ""Germany""",70.45454545,17.85714286,50.776351,6.083862
77,Nova Gorica," ""City Municipality of Nova Gorica"""," ""Slovenia""",75.0,12.5,45.9580549,13.6474706
78,Kranj," ""City Municipality of Kranj"""," ""Slovenia""",80.55555556,12.5,46.2432913,14.3549353
79,Stuttgart," ""Baden-Wurttemberg"""," ""Germany""",43.125,24.28571429,48.7784485,9.1800132
80,Biel/Bienne," ""Canton of Bern"""," ""Switzerland""",37.5,31.25,47.1402077,7.2439029
81,Karlsruhe," ""Baden-Wurttemberg"""," ""Germany""",87.5,5.555555556,49.0068705,8.4034195
82,Hamburg," """""," ""Germany""",70.76271186,24.50980392,53.550341,10.000654
83,Ahmedabad," ""Gujarat"""," ""India""",32.96296296,66.9921875,23.0216238,72.5797068
84,Salerno," ""Campania"""," ""Italy""",60.0,58.33333333,40.419441649999996,15.310756230322482
85,Prague," """""," ""Czech Republic""",63.21243523,25.70621469,50.0596288,14.446459273258009
86,Jamnagar," ""Gujarat"""," ""India""",34.48275862,58.33333333,22.4732415,70.0552102
87,Busto Arsizio," ""Lombardy"""," ""Italy""",0.0,75.0,45.611932,8.8518269
88,Mumbai," ""Maharashtra"""," ""India""",25.16025641,75.32537961,18.9733536,72.82810491917377
89,Jerusalem," ""Jerusalem District"""," ""Israel""",37.09677419,42.39130435,31.78847185,35.21879441094499
90,Grenoble," """""," ""France""",34.09090909,26.47058824,45.1875602,5.7357819
